Name,Latitude,Longitude,Address,Access
Lorenzo's Steak en Deli (Don Atilano),9.32165,123.3073,"Hibbard Ave., Piapi, Dumaguete City",public/customers
M.Y. Hotel,9.30915,123.30524,"101 San Juan Street, Dumaguete City",customers
Mad Monkey Dumaguete,9.31948,123.31085,"Amigo St., Amigo Subdivision, Piapi, Dumaguete City",customers
Mala King,9.30871,123.30808,"Noblefranca St., Dumaguete City",public/customers
Manila Teacher's Mutual Aid System Incorporation,9.306687,123.300562,"Dr V. Locsin St, Dumaguete City",customers
Marina Spatial,9.32168,123.31154,"EJ Blanco Ave, Brgy. Piapi, Dumaguete City",customers
McDonald's Dumaguete Business Park,9.299812,123.306438,"Calindagan Rd, Dumaguete City",public
McDonald's Dumaguete Downtown,9.308488,123.307766,"Corner Governor Perdices and Legaspi Sts, Dumaguete City",customers
McDonald's Dumaguete Real Street (North Road/Daro),9.322812,123.299312,"161 National Road (in front of NOPH), Dumaguete City",customers
Moriah Pension,9.31894,123.30133,"Molave Street, Daro, Dumaguete City",public/customers
Optimum Pension House,9.314563,123.304063,"Mariño Compound, Capitol Area, Daro, Dumaguete City",customers
PVL Suites,9.317438,123.303313,"Aldecoa Drive, corner Ipil street, Daro, Dumaguete City",customers
Piapi Deli,9.321263,123.3103508,"EJ Blanco Drive, Piapi, Dumaguete City (Inside Hotel Dumaguete)",customers
Plaza Maria Luisa Suites Inn,9.30651,123.30818,"Bishop Epifanio Surban St., Dumaguete City",customers
Pulantubig Barangay Hall,9.32435,123.29254,"Purok Tikling, Pulantubig, Dumaguete City",public
Quarto Dgte,9.3249,123.30809,"Fatima Village, Piapi, Dumaguete City",customers
RM Guest House & Grand Royal Spa,9.326062,123.298063,"Silliman Avenue, Dumaguete City",customers
Robinsons Place Mall Calindagan,9.298188,123.303188,"Dumaguete Business Park, Calindagan, Dumaguete City",public
Robinsons Supermarket Perdices,9.307562,123.307812,"Gov. Perdices St., Dumaguete City",public
Rollin' Pin,9.31192,123.30793,"24 Katada Street, Dumaguete City",public/customers
Sans Rival Cakes & Pastries | Robinsons Dumaguete,9.298662,123.303109,"Level 1, Robinsons Place Dumaguete, Calindagan, Dumaguete City",customers
Sans Rival Marina Town (Filinvest Mall),9.32271,123.31208,"Filinvest Malls Dumaguete, Marina Town, Dumaguete City",public
Sierra Hotel,9.32161,123.30834,"Brgy Piapi, E. J. Blanco Dr, Dumaguete City",customers
Silliman University Cafeteria,9.31145,123.30765,"Hibbard Ave., Silliman University, Dumaguete City",customers
Silliman University College of Arts and Sciences,9.31207,123.30677,"Hibbard Ave., Silliman University, Dumaguete City",students/public
Silliman University College of Business Administration (PWD Stalls),9.31268,123.30724,"Hibbard Ave., Silliman University, Dumaguete City",students/public
Silliman University Library,9.31363,123.30634,"Hibbard Ave., Silliman University, Dumaguete City",students/public
Silliman University Luce Auditorium,9.31331,123.30563,"Hibbard Ave., Silliman University, Dumaguete City",students/public
Silliman University Medical Center,9.31646,123.30424,"Aldecoa Drive, Dumaguete City",students/public
Silliman University Senior High School Building,9.3143,123.30535,"Hibbard Ave., Silliman University, Dumaguete City",students/public
Sol de Luna Cafe Restaurant Bar & Lounge,9.328437,123.308813,"24 East Rovira Road, Bantayan, Dumaguete City",customers
Sola Guesthouse,9.3257,123.30685,"Hibbard Ave., Dumaguete City",customers
Sta. Monica Beach Club,9.277812,123.302437,"Barangay Banilad, Dumaguete City",customers
Tanzy Tristan Salon,9.317813,123.307063,"Infante Bartch Subdivision, Bagacay, Dumaguete City",customers
The Apartment 5,9.31858,123.30701,"Unit 5, TS Homes, Hibbard Avenue, Dumaguete City",public/customers
The Coffee Bean & Tea Leaf,9.31994,123.31244,"143 Flores Ave, Dumaguete City",customers
The Henry Resort,9.32738,123.31028,"Flores Avenue, Bantayan, Dumaguete City",public/customers
The Pawnshop Bar,9.321312,123.310438,"EJ Blanco Drive, Piapi, Dumaguete City (Inside Hotel Dumaguete)",customers
Tres Bistro,9.31788,123.30714,"Hibbard Avenue, Tubod, Dumaguete City",customers
UCC Café Terrace,9.322188,123.312187,"G/F Filinvest Malls Dumaguete, Flores Avenue corner EJ Blanco Drive, Brgy. Piapi, Dumaguete City",public/customers
WrkPod Downtown,9.308441,123.3080518,"Maneda Building, Noblefranca Street, Dumaguete City",customers
Wrkpod HQ,9.31125,123.29875,"Buñao Road, National Highway, beside Royhle Aviation, Dumaguete City",customers
Wrkpod Northside,9.328563,123.296063,"Western Nautical Hwy, Buñao Rd, Dumaguete City",customers
Yvan Cafe,9.31933,123.30686,"Hibbard Avenue, Brgy. Piapi, Dumaguete City",customers
